N°;DEPARTEMENT;COMMUNE;ARRONDISSEMENT;VILLAGE_QUARTIER;CENTRE DE VOTE;POSTE DE VOTE;LATITUDE;LONGITUDE
5637;BORGOU;KALALE;BASSO;BASSO;CEG BASSO;PV 03;10.4983017;3.6925834
5638;BORGOU;KALALE;BASSO;BASSO;CEG BASSO;PV 04;10.4983017;3.6925834
5639;BORGOU;KALALE;BASSO;BASSO;EPP BASSO;PV 01;10.4983017;3.6925834
5640;BORGOU;KALALE;BASSO;BASSO;HANGAR PLACE PUBLIQUE BASSO GANDO;PV 01;10.4983017;3.6925834
5641;BORGOU;KALALE;BASSO;BASSO-PEULH;EPP GNEL-MERE PEULH;PV 01;10.4956681;3.6878199
5642;BORGOU;KALALE;BASSO;GAWEZI;EPP GAWEZI;PV 01;10.3985046;3.5754463
5643;BORGOU;KALALE;BASSO;GAWEZI;EPP GAWEZI;PV 02;10.3985046;3.5754463
5644;BORGOU;KALALE;BASSO;GAWEZI;HANGAR MARCHE GAWEZI;PV 01;10.3985046;3.5754463
5645;BORGOU;KALALE;BASSO;GBEKONA;EPP GBEKONA;PV 01;10.553665;3.6328772
5646;BORGOU;KALALE;BASSO;GBEKONA;EPP GBEKONA;PV 02;10.553665;3.6328772
5647;BORGOU;KALALE;BASSO;GOROGAO;EPP GOROGAO DANTCHA;PV 01;10.4983017;3.6925834
5648;BORGOU;KALALE;BASSO;GOROGAO;EPP GOROGAO DANTCHA;PV 02;10.4983017;3.6925834
5649;BORGOU;KALALE;BASSO;GOROGAO;HANGAR DE MARCHE GOROGAO;PV 01;10.4983017;3.6925834
5650;BORGOU;KALALE;BASSO;NEGANZI;EPP NEGANZI;PV 01;10.594028;3.8043478
5651;BORGOU;KALALE;BASSO;NEGANZI;EPP NEGANZI;PV 02;10.594028;3.8043478
5652;BORGOU;KALALE;BASSO;NEGANZI;EPP NEGANZI;PV 03;10.594028;3.8043478
5653;BORGOU;KALALE;BASSO;NEGANZI;HANGAR MARCHE OUSSANA;PV 01;10.594028;3.8043478
5654;BORGOU;KALALE;BASSO;NEGANZI;HANGAR SOUS LES MANGUIERS;PV 01;10.594028;3.8043478
5655;BORGOU;KALALE;BASSO;NEGANZI-PEULH;EPP NEGANZI PEULH;PV 01;10.594028;3.8043478
5656;BORGOU;KALALE;BOUCA;ADA-KPANE;EPP ADA KPANE;PV 01;10.2586836;3.0938566
5657;BORGOU;KALALE;BOUCA;ADA-KPANE;EPP ADA KPANE;PV 02;10.2586836;3.0938566
5658;BORGOU;KALALE;BOUCA;ADA-KPANE;EPP ADA KPANE;PV 03;10.2586836;3.0938566
5659;BORGOU;KALALE;BOUCA;BESSASSI-BOUCA;EPP BESSASSI-BOUCA;PV 01;10.2162727;3.1302974
5660;BORGOU;KALALE;BOUCA;BESSASSI-BOUCA;EPP BESSASSI-BOUCA;PV 02;10.2162727;3.1302974
5661;BORGOU;KALALE;BOUCA;BESSASSI-BOUCA;HANGAR MARCHE POUTCHA;PV 01;10.2162727;3.1302974
5662;BORGOU;KALALE;BOUCA;BOUCA;EPP BOUKA QUARTIER;PV 01;10.2111653;3.1293791
5663;BORGOU;KALALE;BOUCA;BOUCA;EPP BOUKA QUARTIER;PV 02;10.2111653;3.1293791
5664;BORGOU;KALALE;BOUCA;BOUCA;EPP BOUKA QUARTIER;PV 03;10.2111653;3.1293791
5665;BORGOU;KALALE;BOUCA;BOUCA;HANGAR MARCHE WARRANTAGE;PV 01;10.2111653;3.1293791
5666;BORGOU;KALALE;BOUCA;BOUCA;HANGAR MARCHE WARRANTAGE;PV 02;10.2111653;3.1293791
5667;BORGOU;KALALE;BOUCA;BOUCA-GANDO;EPP BINGA;PV 01;10.2111653;3.1293791
5668;BORGOU;KALALE;BOUCA;BOUCA-GANDO;EPP BINGA;PV 02;10.2111653;3.1293791
5669;BORGOU;KALALE;BOUCA;BOUCA-GANDO;EPP BOUCA-GANDO;PV 01;10.2111653;3.1293791
5670;BORGOU;KALALE;BOUCA;BOUCA-GANDO;EPP BOUCA-GANDO;PV 02;10.2111653;3.1293791
5671;BORGOU;KALALE;BOUCA;BOUCA-GANDO;EPP BOUCA-GANDO;PV 03;10.2111653;3.1293791
5672;BORGOU;KALALE;BOUCA;BOUCA-PEULH;EPP BADJAHA;PV 01;10.2111653;3.1293791
5673;BORGOU;KALALE;BOUCA;BOUCA-PEULH;HANGAR MARCHE BOUKA-PEULH;PV 01;10.2111653;3.1293791
5674;BORGOU;KALALE;BOUCA;BOUCA-WOOROU;EPP BOUCA WOOROU;PV 01;10.2111653;3.1293791
5675;BORGOU;KALALE;BOUCA;BOUCA-WOOROU;EPP BOUCA WOOROU;PV 02;10.2111653;3.1293791
5676;BORGOU;KALALE;BOUCA;BOUCA-WOOROU;EPP BOUCA WOOROU;PV 03;10.2111653;3.1293791
5677;BORGOU;KALALE;BOUCA;BOUCA-WOOROU;EPP BOUCA WOOROU;PV 04;10.2111653;3.1293791
5678;BORGOU;KALALE;BOUCA;BOURAOURE;EPP BOURAOURE;PV 01;10.0844251;3.1584278
5679;BORGOU;KALALE;BOUCA;BOURAOURE;EPP BOURAOURE;PV 02;10.0844251;3.1584278
5680;BORGOU;KALALE;BOUCA;GANDO-GOUROU;EPP GANDO-GOUROU;PV 01;10.2111653;3.1293791
5681;BORGOU;KALALE;BOUCA;GANDO-GOUROU;EPP GANDO-GOUROU;PV 02;10.2111653;3.1293791
5682;BORGOU;KALALE;BOUCA;GBASSI;EPP GBASSI;PV 01;10.2262407;3.1921875
5683;BORGOU;KALALE;BOUCA;GBASSI;HANGAR MARCHE GBASSI-GANDO;PV 01;10.2262407;3.1921875
5684;BORGOU;KALALE;BOUCA;GBEROUGBASSI;EPP GBEROUGBASSI;PV 01;10.2703691;3.1553706
5685;BORGOU;KALALE;BOUCA;GBEROUGBASSI;EPP GBEROUGBASSI;PV 02;10.2703691;3.1553706
5686;BORGOU;KALALE;BOUCA;GBEROUGBASSI;EPP GBEROUGBASSI;PV 03;10.2703691;3.1553706
5687;BORGOU;KALALE;BOUCA;GNEL-BOUCATOU;EPP GNELBOUKATOU G/A;PV 01;10.1931926;3.09005
5688;BORGOU;KALALE;BOUCA;GNEL-BOUCATOU;EPP GNELBOUKATOU G/A;PV 02;10.1931926;3.09005
5689;BORGOU;KALALE;BOUCA;GNEL-BOUCATOU;EPP GNELBOUKATOU G/A;PV 03;10.1931926;3.09005
5690;BORGOU;KALALE;BOUCA;GNEL-BOUCATOU;EPP GNELBOUKATOU G/A;PV 04;10.1931926;3.09005
5691;BORGOU;KALALE;BOUCA;GNEL-BOUCATOU;EPP SAFILKO G/A;PV 01;10.1931926;3.09005
5692;BORGOU;KALALE;BOUCA;GNEL-BOUCATOU;MAGASIN GV GNEL-BOUCATOU;PV 01;10.1931926;3.09005
5693;BORGOU;KALALE;BOUCA;GNEL-BOUCATOU;TEPARE SORE (CENTRE DU MARCHE);PV 01;10.1931926;3.09005
5694;BORGOU;KALALE;BOUCA;GNEL-BOUCATOU;TEPARE SORE (CENTRE DU MARCHE);PV 02;10.1931926;3.09005
5695;BORGOU;KALALE;BOUCA;KAALA;EPP KAALA;PV 01;10.1031789;3.1715999
5696;BORGOU;KALALE;BOUCA;KAALA;EPP KAALA;PV 02;10.1031789;3.1715999
5697;BORGOU;KALALE;BOUCA;KAREL;EPP KAREL;PV 01;10.5977749;3.6838341
5698;BORGOU;KALALE;BOUCA;KAREL;EPP KAREL;PV 02;10.5977749;3.6838341
5700;BORGOU;KALALE;BOUCA;KAREL;HANGAR PLACE PUBLIQUE GOUNKPARE;PV 01;10.5977749;3.6838341
5701;BORGOU;KALALE;BOUCA;KOUREL;EPP DIAMBADI;PV 01;10.0844974;3.2079628
5702;BORGOU;KALALE;BOUCA;KOUREL;EPP DIAMBADI;PV 02;10.0844974;3.2079628
5703;BORGOU;KALALE;BOUCA;KOUREL;EPP DIAMBADI;PV 03;10.0844974;3.2079628
5704;BORGOU;KALALE;BOUCA;KOUREL;EPP KALA-GODO;PV 01;10.0844974;3.2079628
5705;BORGOU;KALALE;BOUCA;KOUREL;EPP KOUREL;PV 01;10.0844974;3.2079628
5706;BORGOU;KALALE;BOUCA;KOUREL;EPP KOUREL;PV 02;10.0844974;3.2079628
5708;BORGOU;KALALE;BOUCA;KOUREL;HANGAR MARCHE BAKESSINI;PV 01;10.0844974;3.2079628
5709;BORGOU;KALALE;BOUCA;KOUREL;HANGAR MARCHE KALEL GOUDEL;PV 01;10.0844974;3.2079628
5710;BORGOU;KALALE;BOUCA;KOUREL;HANGAR MARCHE KOUREL;PV 01;10.0844974;3.2079628
5711;BORGOU;KALALE;BOUCA;KOUREL;HANGAR MARCHE SOMPINAROU;PV 01;10.0844974;3.2079628
5712;BORGOU;KALALE;BOUCA;KOUREL;HANGAR MARCHE YEKENA;PV 01;10.0844974;3.2079628
5713;BORGOU;KALALE;BOUCA;KOUREL;MAISON DU PEUPLE;PV 01;10.0844974;3.2079628
5714;BORGOU;KALALE;BOUCA;SEREGOUROU;EPP DADAGOURGNA;PV 01;10.081013;3.0923264
5715;BORGOU;KALALE;BOUCA;SEREGOUROU;EPP DADAGOURGNA;PV 02;10.081013;3.0923264
5716;BORGOU;KALALE;BOUCA;SEREGOUROU;EPP DOUKOUM;PV 01;10.081013;3.0923264
5717;BORGOU;KALALE;BOUCA;SEREGOUROU;EPP KOPE;PV 01;10.081013;3.0923264
5718;BORGOU;KALALE;BOUCA;SEREGOUROU;EPP SEREGOUROU;PV 01;10.081013;3.0923264
5719;BORGOU;KALALE;BOUCA;SEREGOUROU;EPP SEREGOUROU;PV 02;10.081013;3.0923264
5720;BORGOU;KALALE;DERASSI;ALAFIAROU-DERASSI;EPP ALAFIAROU;PV 01;10.0596434;3.2310209
5721;BORGOU;KALALE;DERASSI;ALAFIAROU-DERASSI;EPP ALAFIAROU;PV 02;10.0596434;3.2310209
5722;BORGOU;KALALE;DERASSI;ALAFIAROU-DERASSI;HANGAR MARCHE ALAFIAROU;PV 01;10.0596434;3.2310209
5723;BORGOU;KALALE;DERASSI;DERASSI;BUREAU DE L'ARRONDISSEMENT;PV 01;10.0596434;3.2310209
5724;BORGOU;KALALE;DERASSI;DERASSI;BUREAU DE L'ARRONDISSEMENT;PV 02;10.0596434;3.2310209
5725;BORGOU;KALALE;DERASSI;DERASSI;BUREAU DE L'ARRONDISSEMENT;PV 03;10.0596434;3.2310209
5726;BORGOU;KALALE;DERASSI;DERASSI;HANGAR MARCHE DERASSI;PV 01;10.0596434;3.2310209
5727;BORGOU;KALALE;DERASSI;DERASSI;HANGAR PLACE PUBLIQUE BAWAROU;PV 01;10.0596434;3.2310209
5728;BORGOU;KALALE;DERASSI;GNEL DEMON;EPP GNEL DEMON;PV 01;10.1753401;3.3277577
5729;BORGOU;KALALE;DERASSI;GNEL DEMON;EPP GNEL DEMON;PV 02;10.1753401;3.3277577
5732;BORGOU;KALALE;DERASSI;GNEL-KELE;EPP GNEL-KELE;PV 01;10.0985754;3.2689279
5733;BORGOU;KALALE;DERASSI;GNEL-KELE;EPP GNEL-KELE;PV 02;10.0985754;3.2689279
5734;BORGOU;KALALE;DERASSI;GNEL-KELE;HANGAR DE MARCHE GNEL-BANSOU;PV 01;10.0985754;3.2689279
5735;BORGOU;KALALE;DERASSI;GUIRI-GANDO;EPP GUIRI-GANDO;PV 01;10.194477;3.265747
5736;BORGOU;KALALE;DERASSI;GUIRI-GANDO;EPP GUIRI-GANDO;PV 02;10.194477;3.265747
5737;BORGOU;KALALE;DERASSI;GUIRI-GANDO;EPP GUIRI-GANDO;PV 03;10.194477;3.265747
5738;BORGOU;KALALE;DERASSI;GUIRI-PEULH;EPP GUIRI-PEULH;PV 01;10.1981218;3.2649788
5739;BORGOU;KALALE;DERASSI;KAKATINNIN;EPP GNEL-BOUDEROU;PV 01;10.1261296;3.2583277
5740;BORGOU;KALALE;DERASSI;KAKATINNIN;EPP GNEL-BOUDEROU;PV 02;10.1261296;3.2583277
5741;BORGOU;KALALE;DERASSI;KAKATINNIN;EPP KAKATINNIN;PV 01;10.1261296;3.2583277
5742;BORGOU;KALALE;DERASSI;KAKATINNIN;EPP TCHIBIA;PV 01;10.1261296;3.2583277
5743;BORGOU;KALALE;DERASSI;MAREGUINTA;EPP MAREGUINTA G/A;PV 01;10.195633;3.2989332
5744;BORGOU;KALALE;DERASSI;MAREGUINTA;EPP MAREGUINTA G/A;PV 02;10.195633;3.2989332
5745;BORGOU;KALALE;DERASSI;MAREGUINTA;EPP HARE;PV 01;10.195633;3.2989332
5747;BORGOU;KALALE;DERASSI;MAREGUINTA;HANGAR MARCHE WANGNA;PV 01;10.195633;3.2989332
5748;BORGOU;KALALE;DERASSI;MATCHORE;EPP MATCHORE;PV 01;10.244633;3.2481703
5749;BORGOU;KALALE;DERASSI;MATCHORE;EPP MATCHORE;PV 02;10.244633;3.2481703
5750;BORGOU;KALALE;DERASSI;MATCHORE;EPP MATCHORE;PV 03;10.244633;3.2481703
5751;BORGOU;KALALE;DERASSI;MATCHORE;HANGAR MARCHE GNEL-GUISSORE;PV 01;10.244633;3.2481703
5752;BORGOU;KALALE;DERASSI;TOUCARE;MAGASIN DE STOCKAGE;PV 01;10.1427673;3.28427
5753;BORGOU;KALALE;DERASSI;TOUCARE;MAGASIN DE STOCKAGE;PV 02;10.1427673;3.28427
5754;BORGOU;KALALE;DERASSI;WONKO;EPP WONKO;PV 01;10.1524589;3.3288812
5755;BORGOU;KALALE;DERASSI;WONKO;EPP WONKO;PV 02;10.1524589;3.3288812
5756;BORGOU;KALALE;DERASSI;WONKO;HANGAR MARCHE GNEL-SINAFERE;PV 01;10.1524589;3.3288812
5757;BORGOU;KALALE;DUNKASSA;ALAFIAROU-GANDO;EPP ALAFIAROU GANDO;PV 01;10.3556586;3.1498407
5758;BORGOU;KALALE;DUNKASSA;BATIN;EPP BATIN;PV 01;10.3556586;3.1498407
5759;BORGOU;KALALE;DUNKASSA;BATIN;EPP BATIN;PV 02;10.3556586;3.1498407
5760;BORGOU;KALALE;DUNKASSA;BATIN;EPP BATIN;PV 03;10.3556586;3.1498407
5761;BORGOU;KALALE;DUNKASSA;DADI;EPP DADI;PV 01;10.1874234;3.2210087
5762;BORGOU;KALALE;DUNKASSA;DADI;EPP DADI;PV 02;10.1874234;3.2210087
5763;BORGOU;KALALE;DUNKASSA;DADI;EPP DADI;PV 03;10.1874234;3.2210087
5764;BORGOU;KALALE;DUNKASSA;DANGOROU;EPP DANGOROU;PV 01;10.248402;3.1978948
5765;BORGOU;KALALE;DUNKASSA;DANGOROU;EPP DANGOROU;PV 02;10.248402;3.1978948
5766;BORGOU;KALALE;DUNKASSA;DJEGA-DUNKASSA;EPP DJEGA 1;PV 01;10.2990456;3.2177245
5767;BORGOU;KALALE;DUNKASSA;DJEGA-DUNKASSA;EPP DJEGA 1;PV 02;10.2990456;3.2177245
5768;BORGOU;KALALE;DUNKASSA;DJEGA-DUNKASSA;EPP DJEGA 1;PV 03;10.2990456;3.2177245
5769;BORGOU;KALALE;DUNKASSA;DJEGA-DUNKASSA;HANGAR MARCHE GNEL-DJONGOURO;PV 01;10.2990456;3.2177245
5770;BORGOU;KALALE;DUNKASSA;DJILIDJALARE;HANGAR MARCHE DJILIDJALARE;PV 01;10.3556586;3.1498407
5771;BORGOU;KALALE;DUNKASSA;DJILIDJALARE;HANGAR MARCHE DJILIDJALARE;PV 02;10.3556586;3.1498407
5772;BORGOU;KALALE;DUNKASSA;DJILIDJALARE;HANGAR MARCHE DJILIDJALARE;PV 03;10.3556586;3.1498407
5773;BORGOU;KALALE;DUNKASSA;DUNKASSA;EPP ANGNARA;PV 01;10.3491558;3.147509
5774;BORGOU;KALALE;DUNKASSA;DUNKASSA;EPP ANGNARA;PV 02;10.3491558;3.147509
5775;BORGOU;KALALE;DUNKASSA;DUNKASSA;EPP ANGNARA;PV 03;10.3491558;3.147509
5776;BORGOU;KALALE;DUNKASSA;DUNKASSA;EPP CENTRE;PV 01;10.3491558;3.147509
5777;BORGOU;KALALE;DUNKASSA;DUNKASSA;EPP GNEL-WASSOU;PV 01;10.3491558;3.147509
5778;BORGOU;KALALE;DUNKASSA;DUNKASSA;HANGAR GNEL-KOUTE;PV 01;10.3491558;3.147509
5779;BORGOU;KALALE;DUNKASSA;DUNKASSA;HANGAR GNEL-POLLA;PV 01;10.3491558;3.147509
5780;BORGOU;KALALE;DUNKASSA;DUNKASSA;HANGAR KALEL II;PV 01;10.3491558;3.147509
5781;BORGOU;KALALE;DUNKASSA;DUNKASSA;HANGAR MARCHE;PV 01;10.3491558;3.147509
5782;BORGOU;KALALE;DUNKASSA;DUNKASSA;HANGAR MARCHE;PV 02;10.3491558;3.147509
5783;BORGOU;KALALE;DUNKASSA;DUNKASSA;HANGAR MARCHE DJAKARARI;PV 01;10.3491558;3.147509
5784;BORGOU;KALALE;DUNKASSA;DUNKASSA;HANGAR PLACE PUBLIQUE DUNKASSA;PV 01;10.3491558;3.147509
5785;BORGOU;KALALE;DUNKASSA;DUNKASSA;HARGAR GNEL-GROUZA;PV 01;10.3491558;3.147509
5786;BORGOU;KALALE;DUNKASSA;DUNKASSA-PEULH;PLACE PUBLIQUE DUNKASSA PEULH;PV 01;10.3526907;3.1477208
5787;BORGOU;KALALE;DUNKASSA;GABARIDJO;HANGAR MARCHE GNEL-GAMADJE;PV 01;10.3556586;3.1498407
5788;BORGOU;KALALE;DUNKASSA;GBESSAKPEROU;EPP GBESSAKPEROU;PV 01;10.4159254;3.0281358
5789;BORGOU;KALALE;DUNKASSA;GBESSAKPEROU;EPP GBESSAKPEROU;PV 02;10.4159254;3.0281358
5790;BORGOU;KALALE;DUNKASSA;GBESSAKPEROU;EPP GBESSAKPEROU;PV 03;10.4159254;3.0281358
5791;BORGOU;KALALE;DUNKASSA;GBESSAKPEROU;EPP GBESSAKPEROU;PV 04;10.4159254;3.0281358
5792;BORGOU;KALALE;DUNKASSA;GOROBANI;EPP GOROBANI;PV 01;10.3834614;3.171522
5793;BORGOU;KALALE;DUNKASSA;GOROBANI;EPP GOROBANI;PV 02;10.3834614;3.171522
5794;BORGOU;KALALE;DUNKASSA;KIRICOUBE;HANGAR MARCHE KIRICOUBE;PV 01;10.3556586;3.1498407
5795;BORGOU;KALALE;DUNKASSA;KIRICOUBE;HANGAR MARCHE KIRICOUBE;PV 02;10.3556586;3.1498407
5796;BORGOU;KALALE;DUNKASSA;KIRICOUBE;HANGAR MARCHE SOMPI;PV 01;10.3556586;3.1498407
5797;BORGOU;KALALE;DUNKASSA;OUENAGOUROU;EPP OUENANGOUROU CENTRE;PV 01;10.341397;3.1953966
5798;BORGOU;KALALE;DUNKASSA;OUENAGOUROU;EPP OUENANGOUROU CENTRE;PV 02;10.341397;3.1953966
5799;BORGOU;KALALE;DUNKASSA;OUENAGOUROU;EPP OUENANGOUROU CENTRE;PV 03;10.341397;3.1953966
5800;BORGOU;KALALE;DUNKASSA;OUENAGOUROU;EPP OUENANGOUROU CENTRE;PV 04;10.341397;3.1953966
5801;BORGOU;KALALE;DUNKASSA;OUENAGOUROU;HANGAR MARCHE DANTCHAO;PV 01;10.341397;3.1953966
5802;BORGOU;KALALE;KALALE;BESSASSI;EPP BESSASSI;PV 01;10.3861196;3.4710735
5803;BORGOU;KALALE;KALALE;BESSASSI;EPP BESSASSI;PV 02;10.3861196;3.4710735
5804;BORGOU;KALALE;KALALE;BESSASSI;EPP BESSASSI;PV 03;10.3861196;3.4710735
5805;BORGOU;KALALE;KALALE;BESSASSI;EPP BESSASSI;PV 04;10.3861196;3.4710735
5806;BORGOU;KALALE;KALALE;BESSASSI-BEA;EPP BESSASSI G/A ET B;PV 01;10.3845458;3.4634829
5807;BORGOU;KALALE;KALALE;BESSASSI-BEA;EPP BESSASSI G/A ET B;PV 02;10.3845458;3.4634829
5808;BORGOU;KALALE;KALALE;BESSASSI-BEA;MAISON DES JEUNES;PV 01;10.3845458;3.4634829
5809;BORGOU;KALALE;KALALE;BESSASSI-GANDO;HANGAR MARCHE BESSASSI GANDO;PV 01;10.3894781;3.4824599
5810;BORGOU;KALALE;KALALE;BESSASSI-GANDO;HANGAR MARCHE BESSASSI GANDO;PV 02;10.3894781;3.4824599
5811;BORGOU;KALALE;KALALE;DANGANZI;EPP DANGANZI;PV 01;10.318655;3.4604771
5812;BORGOU;KALALE;KALALE;DANGANZI;EPP DANGANZI;PV 02;10.318655;3.4604771
5813;BORGOU;KALALE;KALALE;DANGANZI;EPP DANGANZI;PV 03;10.318655;3.4604771
5814;BORGOU;KALALE;KALALE;DJEGA-KALALE;EPP DJEGA KALALE CENTRE;PV 01;10.2996241;3.3322048
5815;BORGOU;KALALE;KALALE;DJEGA-KALALE;PLACE PUBLIQUE DJEGA-KALALE 2;PV 01;10.2996241;3.3322048
5816;BORGOU;KALALE;KALALE;DJEGA-KALALE;EPP GNEL-WAHILBE;PV 01;10.2996241;3.3322048
5817;BORGOU;KALALE;KALALE;DJEGA-KALALE;EPP TCHAMON;PV 01;10.2996241;3.3322048
5818;BORGOU;KALALE;KALALE;GOUDEMA;HANGAR MARCHE GOUDEMA;PV 01;10.2598362;3.342011
5819;BORGOU;KALALE;KALALE;GOUDEMA;HANGAR MARCHE GOUDEMA;PV 02;10.2598362;3.342011
5820;BORGOU;KALALE;KALALE;KALALE;CEG KALALE;PV 01;10.2996241;3.3322048
5821;BORGOU;KALALE;KALALE;KALALE;CEG KALALE;PV 02;10.2996241;3.3322048
5822;BORGOU;KALALE;KALALE;KALALE;CEG KALALE;PV 03;10.2996241;3.3322048
5823;BORGOU;KALALE;KALALE;KALALE;EPP KALALE G/A, B ET C;PV 01;10.2996241;3.3322048
5824;BORGOU;KALALE;KALALE;KALALE;EPP QUARTIER;PV 01;10.2996241;3.3322048
5825;BORGOU;KALALE;KALALE;KALALE;EPP QUARTIER;PV 02;10.2996241;3.3322048
5826;BORGOU;KALALE;KALALE;KALALE-PEULH;HANGAR A COTE MOSQUEE KALALE-PEULH;PV 01;10.2934488;3.3904839
5827;BORGOU;KALALE;KALALE;KALALE-PEULH;HANGAR A COTE MOSQUEE KALALE-PEULH;PV 02;10.2934488;3.3904839
5828;BORGOU;KALALE;KALALE;KALALE-PEULH;HANGAR PLACE PUBLIQUE KALALE PEULH;PV 01;10.2934488;3.3904839
5829;BORGOU;KALALE;KALALE;KALALE-SESSOUAN;EPP SESSOUAN;PV 01;10.2839481;3.3750451
5830;BORGOU;KALALE;KALALE;KALALE-SESSOUAN;EPP SESSOUAN;PV 02;10.2839481;3.3750451
5831;BORGOU;KALALE;KALALE;KALALE-SESSOUAN;MAISON DES JEUNES;PV 01;10.2839481;3.3750451
5832;BORGOU;KALALE;KALALE;KALALE-SESSOUAN;MAISON DES JEUNES;PV 02;10.2839481;3.3750451
5833;BORGOU;KALALE;KALALE;KALALE-ZINA;CEG 1 KALALE;PV 01;10.297629;3.3846205
5834;BORGOU;KALALE;KALALE;KALALE-ZINA;CEG 1 KALALE;PV 02;10.297629;3.3846205
5835;BORGOU;KALALE;KALALE;KIDAROUKPEROU;EPP KIDAROUKPEROU;PV 01;10.3018785;3.3217731
5836;BORGOU;KALALE;KALALE;KIDAROUKPEROU;EPP KIDAROUKPEROU;PV 02;10.3018785;3.3217731
5837;BORGOU;KALALE;KALALE;KIDAROUKPEROU;EPP KIDAROUKPEROU;PV 03;10.3018785;3.3217731
5838;BORGOU;KALALE;KALALE;LOU;EPP LOU;PV 01;10.325968;3.4591295
5839;BORGOU;KALALE;KALALE;LOU;EPP LOU;PV 02;10.325968;3.4591295
5840;BORGOU;KALALE;KALALE;LOU;EPP LOU;PV 03;10.325968;3.4591295
5841;BORGOU;KALALE;KALALE;LOU;EPP LOU GANDO;PV 01;10.325968;3.4591295
5842;BORGOU;KALALE;KALALE;LOU;HANGAR MARCHE LOU;PV 01;10.325968;3.4591295
5843;BORGOU;KALALE;KALALE;NASSICONZI;EPP NASSICONZI;PV 01;10.319881;3.4089157
5844;BORGOU;KALALE;KALALE;NASSICONZI;EPP NASSICONZI;PV 02;10.319881;3.4089157
5845;BORGOU;KALALE;KALALE;NASSICONZI;EPP NASSICONZI;PV 03;10.319881;3.4089157
5846;BORGOU;KALALE;KALALE;SEBANA;EPP SEBANA;PV 01;10.5303919;3.5554417
5847;BORGOU;KALALE;KALALE;WOBADJE;EPP WOBADJE;PV 01;10.2591574;3.479548
5848;BORGOU;KALALE;KALALE;WOBADJE;EPP WOBADJE;PV 02;10.2591574;3.479548
5849;BORGOU;KALALE;KALALE;WOBADJE;EPP WOBADJE;PV 03;10.2591574;3.479548
5850;BORGOU;KALALE;KALALE;WOBADJE;EPP WOBADJE;PV 04;10.2591574;3.479548
5851;BORGOU;KALALE;KALALE;WOBADJE;HANGAR MARCHE SINKO;PV 01;10.2591574;3.479548
5852;BORGOU;KALALE;KALALE;YOLLA;EPP BARAGANA CENTRE;PV 01;10.2291012;3.4332457
5853;BORGOU;KALALE;KALALE;YOLLA;EPP BARAGANA CENTRE;PV 02;10.2291012;3.4332457
5854;BORGOU;KALALE;KALALE;YOLLA;EPP YOLLA;PV 01;10.2291012;3.4332457
5855;BORGOU;KALALE;KALALE;YOLLA;EPP YOLLA;PV 02;10.2291012;3.4332457
5856;BORGOU;KALALE;KALALE;YOLLA;HANGAR MARCHE YOLLA;PV 01;10.2291012;3.4332457
5857;BORGOU;KALALE;KALALE;ZAMBARA;EPP ZAMBARA;PV 01;10.4648803;3.5311212
5858;BORGOU;KALALE;KALALE;ZAMBARA;EPP ZAMBARA;PV 02;10.4648803;3.5311212
5859;BORGOU;KALALE;KALALE;ZAMBARA;EPP ZAMBARA;PV 03;10.4648803;3.5311212
5860;BORGOU;KALALE;PEONGA;ANGARADEBOU;EPP ANGARADEBOU;PV 01;10.2789399;3.2406678
5861;BORGOU;KALALE;PEONGA;ANGARADEBOU;EPP ANGARADEBOU;PV 02;10.2789399;3.2406678
5862;BORGOU;KALALE;PEONGA;ANGARADEBOU;HANGAR MARCHE GNEL -SOULE;PV 01;10.2789399;3.2406678
5863;BORGOU;KALALE;PEONGA;BAGARIA;EPP BAGARIA;PV 01;10.3101468;3.2556975
5864;BORGOU;KALALE;PEONGA;BAGARIA;HANGAR MARCHE KEWI;PV 01;10.3101468;3.2556975
5865;BORGOU;KALALE;PEONGA;BOA;EPP BOA;PV 01;10.3702084;3.2198412
5866;BORGOU;KALALE;PEONGA;BOA;EPP BOA;PV 02;10.3702084;3.2198412
5867;BORGOU;KALALE;PEONGA;BOA;EPP BOA;PV 03;10.3702084;3.2198412
5868;BORGOU;KALALE;PEONGA;BOA;HANGAR MARCHE DJALOU;PV 01;10.3702084;3.2198412
5869;BORGOU;KALALE;PEONGA;BOA-GANDO;HANGAR PLACE PUBLIQUE BOA GANDO;PV 01;10.3598189;3.2494801
5870;BORGOU;KALALE;PEONGA;BOA-GANDO;MAGASIN BOA GANDO;PV 01;10.3598189;3.2494801
5871;BORGOU;KALALE;PEONGA;GANDO-BAKA;EPP GANDO BAKA;PV 01;10.2707901;3.2544302
5872;BORGOU;KALALE;PEONGA;GANDO-BAKA;EPP GANDO BAKA;PV 02;10.2707901;3.2544302
5873;BORGOU;KALALE;PEONGA;GANDO-BAKA;EPP GANDO BAKA;PV 03;10.2707901;3.2544302
5874;BORGOU;KALALE;PEONGA;GANDO-BAKA;HANGAR MARCHE BARKEDJE KALALE;PV 01;10.2707901;3.2544302
5875;BORGOU;KALALE;PEONGA;GANDO-BAKA;HANGAR DE MARCHE GNEL-TOKO BOU;PV 01;10.2707901;3.2544302
5876;BORGOU;KALALE;PEONGA;GBEI;EPP GBEI;PV 01;10.398992;3.2571323
